Numbered Topic,Topic,Subtopic,Subsubtopic,Learning Outcome,Code
001.File Systems,File Systems,Topic Outcome,,Paste un-numbered outcome here,1.1.1.0
001.File Systems,File Systems,Directories,,Paste un-numbered outcome here,1.2.1.0
001.File Systems,File Systems,Relative Paths,,Paste un-numbered outcome here,1.3.1.0
001.File Systems,File Systems,Absolute Paths,,Paste un-numbered outcome here,1.4.1.0
001.File Systems,File Systems,Converting between Relative and Absolute Paths,,Paste un-numbered outcome here,1.5.1.0
002.Ecosystems,Ecosystems,Topic Outcome,,Paste un-numbered outcome here,2.1.1.0
002.Ecosystems,Ecosystems,Jupyter,,Paste un-numbered outcome here,2.2.1.0
002.Ecosystems,Ecosystems,Quarto,,Paste un-numbered outcome here,2.3.1.0
002.Ecosystems,Ecosystems,RStudio,,Paste un-numbered outcome here,2.4.1.0
002.Ecosystems,Ecosystems,Visual Studio Code,,Paste un-numbered outcome here,2.5.1.0
003.Terminal,Terminal,Topic Outcome,,Paste un-numbered outcome here,3.1.1.0
003.Terminal,Terminal,Commands,,Paste un-numbered outcome here,3.2.1.0
004.Version Control,Version Control,Topic Outcome,,Paste un-numbered outcome here,4.1.1.0
004.Version Control,Version Control,Git,,Paste un-numbered outcome here,4.2.1.0
004.Version Control,Version Control,Repositories,,Paste un-numbered outcome here,4.3.1.0
004.Version Control,Version Control,Cloning,,Paste un-numbered outcome here,4.4.1.0
004.Version Control,Version Control,GitHub,,Paste un-numbered outcome here,4.5.1.0
004.Version Control,Version Control,Forking,,Paste un-numbered outcome here,4.6.1.0
004.Version Control,Version Control,Branching,,Paste un-numbered outcome here,4.7.1.0
004.Version Control,Version Control,Rebasing,,Paste un-numbered outcome here,4.8.1.0
004.Version Control,Version Control,Pull requests,,Paste un-numbered outcome here,4.9.1.0
004.Version Control,Version Control,Collaboration,,Paste un-numbered outcome here,4.10.1.0
005.Markdown,Markdown,Topic Outcome,,Paste un-numbered outcome here,5.1.1.0
005.Markdown,Markdown,Formatting,Headings,Paste un-numbered outcome here,5.2.1.0
005.Markdown,Markdown,Formatting,Bold,Paste un-numbered outcome here,5.2.2.0
005.Markdown,Markdown,Formatting,Italics,Paste un-numbered outcome here,5.2.3.0
005.Markdown,Markdown,Formatting,Lists,Paste un-numbered outcome here,5.2.4.0
005.Markdown,Markdown,Formatting,Code Blocks,Paste un-numbered outcome here,5.2.5.0
005.Markdown,Markdown,Formatting,Code Fences,Paste un-numbered outcome here,5.2.6.0
005.Markdown,Markdown,Formatting,Links,Paste un-numbered outcome here,5.2.7.0
005.Markdown,Markdown,Formatting,Images,Paste un-numbered outcome here,5.2.8.0
005.Markdown,Markdown,Debugging,,Paste un-numbered outcome here,5.3.1.0
006.Programming,Programming,Topic Outcome,,Paste un-numbered outcome here,6.1.1.0
006.Programming,Programming,Control Flow,,Paste un-numbered outcome here,6.2.1.0
006.Programming,Programming,Assignment,,Paste un-numbered outcome here,6.3.1.0
006.Programming,Programming,Python,Subtopic Outcome,Paste un-numbered outcome here,6.4.1.0
006.Programming,Programming,Python,Variables,Paste un-numbered outcome here,6.4.2.0
006.Programming,Programming,Python,Operators,Paste un-numbered outcome here,6.4.3.0
006.Programming,Programming,Python,Arithmetic Operators,Paste un-numbered outcome here,6.4.4.0
006.Programming,Programming,Python,Unary Operators,Paste un-numbered outcome here,6.4.5.0
006.Programming,Programming,Python,Logical Operators,Paste un-numbered outcome here,6.4.6.0
006.Programming,Programming,Python,Data Types,Paste un-numbered outcome here,6.4.7.0
006.Programming,Programming,Python,Control Flow,if/else statements,6.4.8.0
006.Programming,Programming,Python,Control Flow,case/match statements,6.4.8.1
006.Programming,Programming,Python,Control Flow,for loops,6.4.8.2
006.Programming,Programming,Python,Control Flow,while loops,6.4.8.3
006.Programming,Programming,Python,Control Flow,do while loops,6.4.8.4
006.Programming,Programming,Python,Control Flow,Paste un-numbered outcome here,6.4.8.5
006.Programming,Programming,Python,Control Flow,Paste un-numbered outcome here,6.4.8.6
006.Programming,Programming,Python,Dictionaries,Paste un-numbered outcome here,6.4.9.0
006.Programming,Programming,Python,Lists,Paste un-numbered outcome here,6.4.10.0
006.Programming,Programming,Python,Functions,Paste un-numbered outcome here,6.4.11.0
006.Programming,Programming,Python,Integrating python concepts,Paste un-numbered outcome here,6.4.12.0
006.Programming,Programming,Python,Debugging,Paste un-numbered outcome here,6.4.13.0
006.Programming,Programming,R,Subtopic Outcome,Paste un-numbered outcome here,6.5.1.0
006.Programming,Programming,R,Variables,Paste un-numbered outcome here,6.5.2.0
006.Programming,Programming,R,Operators,Paste un-numbered outcome here,6.5.3.0
006.Programming,Programming,R,Arithmetic Operators,Paste un-numbered outcome here,6.5.4.0
006.Programming,Programming,R,Unary Operators,Paste un-numbered outcome here,6.5.5.0
006.Programming,Programming,R,Logical Operators,Paste un-numbered outcome here,6.5.6.0
006.Programming,Programming,R,Data Types,Paste un-numbered outcome here,6.5.7.0
006.Programming,Programming,R,Control Flow,Paste un-numbered outcome here,6.5.8.0
006.Programming,Programming,R,Functions,Paste un-numbered outcome here,6.5.9.0
006.Programming,Programming,R,Exception Handling,Paste un-numbered outcome here,6.5.10.0
006.Programming,Programming,R,Integrating R concepts,Paste un-numbered outcome here,6.5.11.0
006.Programming,Programming,R,Debugging,Paste un-numbered outcome here,6.5.12.0
006.Programming,Programming,Julia,Subtopic Outcome,Paste un-numbered outcome here,6.6.1.0
006.Programming,Programming,Julia,Variables,Paste un-numbered outcome here,6.6.2.0
006.Programming,Programming,Julia,Operators,Paste un-numbered outcome here,6.6.3.0
006.Programming,Programming,Julia,Arithmetic Operators,Paste un-numbered outcome here,6.6.4.0
006.Programming,Programming,Julia,Unary Operators,Paste un-numbered outcome here,6.6.5.0
006.Programming,Programming,Julia,Logical Operators,Paste un-numbered outcome here,6.6.6.0
006.Programming,Programming,Julia,Data Types,Paste un-numbered outcome here,6.6.7.0
006.Programming,Programming,Julia,Control Flow,Paste un-numbered outcome here,6.6.8.0
006.Programming,Programming,Julia,Functions,Paste un-numbered outcome here,6.6.9.0
006.Programming,Programming,Julia,Exception Handling,Paste un-numbered outcome here,6.6.10.0
006.Programming,Programming,Julia,Integrating Julia concepts,Paste un-numbered outcome here,6.6.11.0
006.Programming,Programming,Julia,Debugging,Paste un-numbered outcome here,6.6.12.0
007.Data Analysis,Data Analysis,Topic Outcome,,Paste un-numbered outcome here,7.1.1.0
007.Data Analysis,Data Analysis,Exploratory Data Analysis,Subtopic Outcome,Paste un-numbered outcome here,7.2.1.0
007.Data Analysis,Data Analysis,Pandas,Subtopic Outcome,Paste un-numbered outcome here,7.3.1.0
007.Data Analysis,Data Analysis,Pandas,Data frames,Loading,7.3.2.0
007.Data Analysis,Data Analysis,Pandas,Data frames,Creating,7.3.2.1
007.Data Analysis,Data Analysis,Pandas,Data frames,Merging,7.3.2.2
007.Data Analysis,Data Analysis,Pandas,Data frames,Appending,7.3.2.3
007.Data Analysis,Data Analysis,Pandas,Data frames,Index,7.3.2.4
007.Data Analysis,Data Analysis,Pandas,Data frames,Multi Index,7.3.2.5
007.Data Analysis,Data Analysis,Numpy,Subtopic Outcome,Paste un-numbered outcome here,7.4.1.0
007.Data Analysis,Data Analysis,Tidyverse,Topic Outcome,Paste un-numbered outcome here,7.5.1.0
007.Data Analysis,Data Analysis,Excel,Topic Outcome,Paste un-numbered outcome here,7.6.1.0
007.Data Analysis,Data Analysis,Excel,Excel functions,Paste un-numbered outcome here,7.6.2.0
008.Data Visualization,Data Visualization,Topic Outcome,,Paste un-numbered outcome here,8.1.1.0
