Numbered Topic,Topic,Subtopic,Subsubtopic,Learning Outcome,Code
001.Introduction to Data,Introduction to Data,Topic Outcome,,Identify variables as numerical and categorical.,1.1.1.0
001.Introduction to Data,Introduction to Data,Topic Outcome,,"Define associated variables as variables that show some relationship with one another. Further categorize this relationship as positive or negative association, when possible.",1.1.1.1
001.Introduction to Data,Introduction to Data,Topic Outcome,,Define variables that are not associated as independent.,1.1.1.2
001.Introduction to Data,Introduction to Data,Topic Outcome,,"Identify the explanatory variable in a pair of variables as the variable suspected of affecting the other. However, note that labeling variables as explanatory and response does not guarantee that the relationship between the two is actually causal, even if there is an association identified between the two variables.",1.1.1.3
001.Introduction to Data,Introduction to Data,Topic Outcome,,"Classify a study as observational or experimental, and determine and explain why whether the study's results can be generalized to the population and whether they suggest correlation or causation between the variables studied.",1.1.1.4
001.Introduction to Data,Introduction to Data,Topic Outcome,,Question confounding variables and sources of bias in a given study.,1.1.1.5
001.Introduction to Data,Introduction to Data,Topic Outcome,,"Distinguish between simple random, stratified, cluster, and multistage sampling, and recognize the benefits and drawbacks of choosing one sampling scheme over another.",1.1.1.6
001.Introduction to Data,Introduction to Data,Topic Outcome,,"Identify the four principles of experimental design and recognize their purposes control any possible confounders, randomize into treatment and control groups, replicate by using a sufficiently large sample or repeating the experiment, and block any variables that might influence the response.",1.1.1.7
001.Introduction to Data,Introduction to Data,Topic Outcome,,Identify if single or double blinding has been used in a study.,1.1.1.8
002.Summarizing Data,Summarizing Data,Topic Outcome,,"Use scatterplots for describing the relationship between two numerical variables making sure to note the direction (positive or negative), form (linear or non-linear) and the strength of the relationship as well as any unusual observations that stand out.",2.1.1.0
002.Summarizing Data,Summarizing Data,Topic Outcome,,"When describing the distribution of a numerical variable, mention its shape, center, and spread, as well as any unusual observations.",2.1.1.1
002.Summarizing Data,Summarizing Data,Topic Outcome,,Note that there are three commonly used measures of center and spread.,2.1.1.2
002.Summarizing Data,Summarizing Data,Topic Outcome,,"Identify the shape of a distribution as symmetric, right skewed, or left skewed, and unimodal, bimodal, multimodal, or uniform.",2.1.1.3
002.Summarizing Data,Summarizing Data,Topic Outcome,,"Use histograms and box plots to visualize the shape, center, and spread of numerical distributions, and intensity maps for visualizing the spatial distribution of the data.",2.1.1.4
002.Summarizing Data,Summarizing Data,Topic Outcome,,"Define a robust statistic (e.g. median, IQR) as measures that are not heavily affected by skewness and extreme outliers, and determine when they are more appropriate measured of center and spread compared to other similar statistics.",2.1.1.5
002.Summarizing Data,Summarizing Data,Topic Outcome,,"Recognize when transformations (e.g. log) can make the distribution of data more symmetric, and hence easier to model.",2.1.1.6
002.Summarizing Data,Summarizing Data,Topic Outcome,,Use frequency tables and bar plots to describe the distribution of one categorical variable.,2.1.1.7
002.Summarizing Data,Summarizing Data,Topic Outcome,,Use contingency tables and segmented bar plots or mosaic plots to assess the relationship between two categorical variables.,2.1.1.8
002.Summarizing Data,Summarizing Data,Topic Outcome,,Use side-by-side box plots for assessing the relationship between a numerical and a categorical variable.,2.1.1.9
002.Summarizing Data,Summarizing Data,Topic Outcome,,"Note that an observed difference in sample statistics suggesting dependence between variables may be due to random chance, and that we need to use hypothesis testing to determine if this difference is too large to be attributed to random chance.",2.1.1.10
002.Summarizing Data,Summarizing Data,Topic Outcome,,"Set up null and alternative hypotheses for testing for independence between variables, and evaluate data's support for these hypotheses using a simulation technique.",2.1.1.11
003.Probability,Probability,Topic Outcome,,"Define trial, outcome, and sample space.",3.1.1.0
003.Probability,Probability,Topic Outcome,,"Explain why the long-run relative frequency of repeated independent events settle down to the true probability as the number of trials increases, i.e. why the law of large numbers holds.",3.1.1.1
003.Probability,Probability,Topic Outcome,,Distinguish disjoint (also called mutually exclusive) and independent events.,3.1.1.2
003.Probability,Probability,Topic Outcome,,Draw Venn diagrams representing events and their probabilities.,3.1.1.3
003.Probability,Probability,Topic Outcome,,"Define a probability distribution as a list of the possible outcomes with corresponding probabilities that satisfies three rules; the outcomes listed must be disjoint, each probability must be between 0 and 1, inclusive and the probabilities must total 1.",3.1.1.4
003.Probability,Probability,Topic Outcome,,Define complementary outcomes as mutually exclusive outcomes of the same random process whose probabilities add up to 1.,3.1.1.5
003.Probability,Probability,Topic Outcome,,Distinguish between union of events (A or B) and intersection of events (A and B).,3.1.1.6
003.Probability,Probability,Topic Outcome,,Calculate the probability of union of events using the (general) addition rule.,3.1.1.7
003.Probability,Probability,Topic Outcome,,Distinguish marginal and conditional probabilities.,3.1.1.8
003.Probability,Probability,Topic Outcome,,Calculate the probability of intersection of independent events using the multiplication rule.,3.1.1.9
003.Probability,Probability,Topic Outcome,,Construct tree diagrams to calculate conditional probabilities and probabilities of intersection of non-independent events using Bayes' theorem.,3.1.1.10
003.Probability,Probability,Topic Outcome,,Sampling without replacement from a small population means we no longer have independence between our observations.,3.1.1.11
003.Probability,Probability,Topic Outcome,,A random variable is a random process or variable with a numerical outcome. Modeling a process using a random variable allows us to apply a mathematical framework and statistical principles for better understanding and predicting outcomes in the real world.,3.1.1.12
003.Probability,Probability,Topic Outcome,,We use measures of center and spread to define distributions of random variables.,3.1.1.13
003.Probability,Probability,Topic Outcome,,"Expected value and variance of a discrete random variable, X, can be calculated.",3.1.1.14
003.Probability,Probability,Topic Outcome,,Standard deviation is the square root of variance. We use standard deviation also as a measure of the variability of the random variable. Standard deviation is often easier to interpret since it's in the same units of the random variable.,3.1.1.15
003.Probability,Probability,Topic Outcome,,Linear combinations of random variables.,3.1.1.16
003.Probability,Probability,Topic Outcome,,Probability density functions represent the distributions of continuous random variables.,3.1.1.17
004.Distributions of random variables,Distributions of random variables,Topic Outcome,,Define the standardized (Z) score of a data point as the number of standard deviations it is away from the mean.,4.1.1.0
004.Distributions of random variables,Distributions of random variables,Topic Outcome,,Use the Z score,4.1.1.1
004.Distributions of random variables,Distributions of random variables,Topic Outcome,,"Depending on the shape of the distribution determine whether the median would have a negative, positive, or 0 Z score.",4.1.1.2
004.Distributions of random variables,Distributions of random variables,Topic Outcome,,Assess whether or not a distribution is nearly normal using the 68-95-99.7\% rule or graphical methods such as a normal probability plot.,4.1.1.3
004.Distributions of random variables,Distributions of random variables,Topic Outcome,,"If X is a random variable that takes the value 1 with probability of success p and 0 with probability of success 1-p, then X is a Bernoulli random variable.",4.1.1.4
004.Distributions of random variables,Distributions of random variables,Topic Outcome,,The geometric distribution is used to describe how many trials it takes to observe a success.,4.1.1.5
004.Distributions of random variables,Distributions of random variables,Topic Outcome,,Define the probability of finding the first success in the $n^{th}$ trial as $(1-p)^{n-1}p$.,4.1.1.6
004.Distributions of random variables,Distributions of random variables,Topic Outcome,,"Determine if a random variable is binomial using the four conditions; the trials are independent, the number of trials n is fixed, each trial outcome can be classified as a success or failure and the probability of a success p is the same for each trial.",4.1.1.7
004.Distributions of random variables,Distributions of random variables,Topic Outcome,,Calculate the number of possible scenarios for obtaining $k$ successes in $n$ trials using the choose function ${n \choose k} = \frac{n!}{k!~(n - k)!}$.,4.1.1.8
004.Distributions of random variables,Distributions of random variables,Topic Outcome,,Calculate probability of a given number of successes in a given number of trials using the binomial distribution $P(k = K) = \frac{n!}{k!~(n - k)!}~p^k~(1-p)^{(n - k)}$.,4.1.1.9
004.Distributions of random variables,Distributions of random variables,Topic Outcome,,Calculate the expected number of successes in a given number of binomial trials $(\mu = np)$ and its standard deviation $(\sigma = \sqrt{np(1-p)})$.,4.1.1.10
004.Distributions of random variables,Distributions of random variables,Topic Outcome,,"When number of trials is sufficiently large ($np \ge 10$ and $n(1-p) \ge 10$), use normal approximation to calculate binomial probabilities, and explain why this approach works.",4.1.1.11
004.Distributions of random variables,Distributions of random variables,Topic Outcome,,Cumulative density function and probability mass functions.,4.1.1.12
005.Foundations for inference,Foundations for inference,Topic Outcome,,"Define sample statistic as a point estimate for a population parameter, for example, the sample proportion is used to estimate the population proportion, and note that point estimate and sample statistic are synonymous.",5.1.1.0
005.Foundations for inference,Foundations for inference,Topic Outcome,,"Recognize that point estimates (such as the sample proportion) will vary from one sample to another, and define this variability as sampling variation.",5.1.1.1
